,AMP,BA,CAS.TO,CELG.O,EOG,KMI,SNY,TD,VNQ,WFC,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
15-01-08,128.87,131.8,7.08,115.05,86.88,42.34,45.4,44.99,85.09,53.56,48.65,76.97,24.45,56.02,41.38,49.51,47.68,70.84,71.72
15-01-07,126.62,129.51,6.99,114.55,83.51,41.37,44.68,44.76,84.77,52.4,47.52,75.28,24.09,54.92,40.49,48.77,47.35,69.65,70.66
15-01-06,124.41,127.53,7.17,110.51,84.21,40.83,45.11,44.91,83.49,52.09,46.99,75.12,23.84,54.51,40.15,47.95,46.89,68.05,69.56
15-01-05,127.85,129.05,7.19,111.93,86.68,41.65,44,45.87,82.67,53.2,47.41,76.24,24.21,55.19,40.64,48.01,46.86,68.28,70.26
15-01-02,132.09,129.95,7.31,113.52,92.24,42.81,45.52,46.91,82.22,54.7,48.65,79.53,24.73,56.51,41.3,48.35,47.44,68.63,71.63
14-12-31,132.25,129.98,7.02,111.86,92.07,42.31,45.61,47.78,81,54.82,48.58,79.16,24.73,56.58,41.4,48.49,47.22,68.38,72.15
14-12-30,134.2,131.83,6.83,113.54,92.70,42.50,45.61,47.79,82.39,55.42,49.06,79.76,25.01,57.15,41.8,49.09,48.09,69.07,72.44
14-12-29,135.31,132.29,6.77,114.47,94.33,43.01,46.34,47.89,82.45,55.71,49.23,80.4,25.04,57.49,42.1,49.31,49.11,69.37,72.78
14-12-26,135.27,131.63,6.75,113.35,93.82,42.70,46.15,47.47,82,55.28,49.23,80.11,24.95,57.4,42.3,49.46,48.55,69.13,72.23
14-12-24,135.73,131.24,6.75,109.6,94.05,42.01,46.35,47.61,81.71,55.34,49.06,80.13,24.95,57.4,42.1,49.38,47.97,68.64,71.84
14-12-23,136.76,130.03,6.72,106.12,96.41,41.91,45.85,47.41,82.05,55.47,49.23,80.72,24.99,57.34,42.2,49.43,47.1,68.14,71.96
14-12-22,134.8,128.22,6.79,113.5,95.06,41.55,45.96,46.74,82.28,54.97,48.85,79.75,24.85,57.13,42.1,49.09,46.98,69.74,71.56
14-12-19,134.33,126.23,6.8,117.18,95.02,41.63,46.39,46.49,82.03,54.45,48.82,80.57,24.68,56.59,41.6,48.62,46.86,70.41,70.87
14-12-18,134.32,125.67,6.83,116.48,92.45,40.56,46.81,46.01,82.07,55.21,48.53,78.56,24.79,56.59,41.74,49.02,47.2,70.5,70.97
14-12-17,129.27,125.06,6.7,112.82,90.85,39.89,45.98,45.63,81.5,53.79,47.45,77.08,24.229,55.2,40.58,48.1,46.29,68.62,69.82
14-12-16,124.84,124.25,6.6,110.09,85.63,38.07,45.38,45.14,79.67,52.77,46.19,74.01,23.69,54.69,39.83,47.41,45.48,67.36,68.51
14-12-12,127.72,120.77,6.62,114.49,86.37,39.17,45.16,44.84,80.83,53.7,46.8,74.02,24.14,54.82,40.615,47.91,45.91,68.78,70
14-12-11,133.89,123.37,6.79,116.74,86.59,39.88,46.21,45.52,81.54,54.43,48.14,75.42,24.62,55.825,41.23,48.53,46.35,69.85,70.45
14-12-09,135.46,129.66,6.83,118.68,89.15,40.65,46.24,46.12,81.47,54.83,49.11,77.87,24.88,56.64,41.68,48.59,46.47,70.74,70.82
14-12-08,135.87,130.28,6.86,118.19,88.19,39.84,46.69,45.95,81.1,54.77,48.98,77.03,24.94,56.63,41.69,48.75,46.24,71.04,70.95
